Timestamp,Day,Sleep,Meals/Eating/Prep,School,Homework,Working,Personal Hygiene,Travel/Commute,Chores,Online,Friends,Streaming,Videogames,Sports,Reading,Hobbies,Other
11/7/2023 11:50:49,Day 5 - M 6am to Tu 6am,420,70,285,365,0,30,141,40,0,54,20,0,0,0,15,0
11/7/2023 11:51:32,Day 3 - Sat 6am to Sun 6am,420,135,0,0,40,35,0,95,150,0,360,0,0,45,105,55
11/7/2023 11:51:52,Day 1 - Th 6am to F 6am,405,105,360,325,0,55,20,0,80,45,45,0,0,0,0,0
11/7/2023 11:53:37,Day 2 - F 6am to Sat 6am,390,85,360,330,0,65,20,5,95,45,45,0,0,0,0,0
11/7/2023 11:55:06,Day 3 - Sat 6am to Sun 6am,570,125,0,460,0,75,30,0,110,0,0,0,0,0,70,0
11/7/2023 11:56:30,Day 4 - Sun 6am to M 6am,555,135,0,235,0,70,135,0,60,0,100,0,0,0,25,125
11/7/2023 11:58:25,Day 5 - M 6am to Tu 6am,490,130,360,185,0,65,10,0,35,5,0,0,0,0,0,160
11/8/2023 12:00:33,Day 1 - Th 6am to F 6am,600,90,425,120,0,18,95,10,0,0,52,0,0,30,0,0
11/8/2023 12:01:57,Day 1 - Th 6am to F 6am,525,90,360,0,0,36,43,0,90,69,150,0,0,20,57,0
11/8/2023 12:02:46,Day 2 - F 6am to Sat 6am,550,60,425,60,0,45,60,0,90,40,0,0,0,110,0,0
11/8/2023 12:03:50,Day 2 - F 6am to Sat 6am,465,95,330,0,0,70,65,10,40,70,205,0,0,0,0,90
11/8/2023 12:04:43,Day 3 - Sat 6am to Sun 6am,500,60,0,30,0,20,120,90,210,220,110,0,0,0,0,80
11/8/2023 12:05:23,Day 1 - Th 6am to F 6am,550,80,8,40,0,50,110,15,120,227,35,0,195,10,0,0
11/8/2023 12:05:44,Day 3 - Sat 6am to Sun 6am,495,90,0,0,0,40,110,0,35,290,260,0,0,0,0,120
11/8/2023 12:07:03,Day 4 - Sun 6am to M 6am,565,120,0,100,0,55,140,60,190,0,90,0,0,40,0,80
11/8/2023 12:07:23,Day 4 - Sun 6am to M 6am,480,80,0,0,0,35,62,130,73,0,385,0,0,0,120,75
11/8/2023 12:08:55,Day 2 - F 6am to Sat 6am,510,70,420,80,0,80,95,20,80,35,0,0,50,0,0,0
11/8/2023 12:08:55,Day 1 - Th 6am to F 6am,360,60,390,95,0,85,30,5,165,30,120,0,0,0,70,0
11/8/2023 12:09:15,Day 5 - M 6am to Tu 6am,600,40,365,60,0,80,85,40,30,0,60,0,0,0,0,80
11/8/2023 12:09:43,Day 5 - M 6am to Tu 6am,585,65,295,90,0,55,50,0,95,45,160,0,0,0,0,0
11/8/2023 12:11:01,Day 3 - Sat 6am to Sun 6am,600,75,0,85,0,55,70,30,85,245,70,0,0,0,80,45
11/8/2023 13:37:07,Day 4 - Sun 6am to M 6am,390,100,0,360,0,85,0,50,145,0,100,0,0,60,100,50
11/8/2023 13:48:38,Day 5 - M 6am to Tu 6am,440,120,350,120,0,55,180,10,30,20,15,0,0,10,20,60
11/9/2023 11:42:29,Day 1 - Th 6am to F 6am,60,30,450,120,0,20,20,0,30,0,120,0,0,0,0,0
11/9/2023 11:43:58,Day 1 - Th 6am to F 6am,435,125,410,90,0,75,130,30,0,0,145,0,0,0,0,0
11/9/2023 11:45:14,Day 1 - Th 6am to F 6am,480,85,6,25,0,50,70,15,140,60,65,35,0,0,55,0
11/9/2023 11:45:22,Day 1 - Th 6am to F 6am,420,80,420,40,0,20,30,30,110,20,90,0,0,10,130,40
11/9/2023 11:48:40,Day 2 - F 6am to Sat 6am,435,160,420,80,0,50,30,60,90,20,40,20,0,20,15,0
11/9/2023 11:50:38,Day 2 - F 6am to Sat 6am,360,80,360,170,0,50,50,25,160,50,95,20,0,20,0,0
11/9/2023 11:50:50,Day 1 - Th 6am to F 6am,413,71,360,91,0,89,93,7,45,77,88,0,75,18,0,13
11/9/2023 11:50:51,Day 3 - Sat 6am to Sun 6am,510,180,0,20,0,20,140,60,280,60,110,50,0,10,0,0
11/9/2023 11:52:12,Day 3 - Sat 6am to Sun 6am,540,60,0,70,0,60,30,20,130,270,90,50,0,0,0,120
11/9/2023 11:52:25,Day 2 - F 6am to Sat 6am,385,75,410,0,0,45,130,0,0,0,235,0,0,160,0,0
11/9/2023 11:52:48,Day 4 - Sun 6am to M 6am,560,150,0,30,0,30,50,30,340,70,100,70,0,10,0,0
11/9/2023 11:55:24,Day 5 - M 6am to Tu 6am,420,110,420,40,0,30,30,50,110,20,90,60,0,50,10,0
11/9/2023 11:55:45,Day 4 - Sun 6am to M 6am,550,75,0,120,0,70,50,20,130,80,190,40,0,20,0,95
11/9/2023 11:56:55,Day 3 - Sat 6am to Sun 6am,390,40,0,0,0,20,140,0,60,240,60,0,0,120,370,0
